"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"642","satisfied","Loyal Customer",41,"Business travel","Business",1476,3,3,3,3,3,3,5,5,5,5,5,3,5,5,0,0
"643","satisfied","Loyal Customer",49,"Business travel","Business",3334,1,1,1,1,5,5,4,5,5,5,5,3,5,4,0,0
"644","satisfied","Loyal Customer",36,"Personal Travel","Eco",1082,4,5,4,2,5,4,5,5,3,2,4,4,4,5,0,0
"645","satisfied","Loyal Customer",59,"Personal Travel","Eco",233,5,1,4,4,2,4,1,5,5,5,5,4,5,5,0,2
"646","satisfied","Loyal Customer",40,"Business travel","Eco Plus",1892,4,3,3,3,4,4,4,4,3,2,1,3,1,4,0,17
"647","satisfied","Loyal Customer",45,"Business travel","Eco",1843,4,5,5,5,4,4,4,4,1,1,5,1,2,4,0,0
"648","satisfied","Loyal Customer",42,"Business travel","Business",2022,2,2,2,2,5,5,4,4,4,4,4,5,4,4,0,0
"649","dissatisfied","Loyal Customer",66,"Personal Travel","Eco",4247,2,4,2,3,2,2,2,2,5,3,4,2,3,2,0,0
"650","satisfied","Loyal Customer",40,"Business travel","Business",1047,4,4,4,4,4,4,5,4,4,4,4,3,4,5,0,0
"651","satisfied","Loyal Customer",17,"Business travel","Business",2325,3,3,3,3,5,5,5,5,1,3,2,4,4,5,0,0
"652","satisfied","Loyal Customer",29,"Personal Travel","Eco",1885,5,5,2,5,5,5,5,5,4,4,5,3,4,5,3,0
"653","satisfied","Loyal Customer",47,"Business travel","Business",3308,4,4,4,4,4,5,5,4,4,4,4,4,4,4,0,1
"654","dissatisfied","Loyal Customer",65,"Personal Travel","Eco",2016,2,5,2,1,2,5,5,3,5,1,5,5,3,5,146,157
"655","satisfied","Loyal Customer",43,"Business travel","Business",3734,3,3,3,3,4,4,4,4,4,4,4,4,4,5,0,0
"656","dissatisfied","disloyal Customer",23,"Business travel","Eco",2780,3,2,2,4,3,3,3,3,4,3,4,3,4,3,9,30
"657","dissatisfied","Loyal Customer",37,"Business travel","Eco",1543,1,1,1,1,1,1,1,1,3,3,4,2,4,1,0,0
"658","dissatisfied","Loyal Customer",21,"Personal Travel","Business",2845,3,2,3,4,5,3,5,5,3,3,4,1,3,5,20,36
"659","satisfied","Loyal Customer",61,"Business travel","Business",1900,4,4,5,4,5,5,5,5,2,5,2,5,4,5,172,168
"660","satisfied","disloyal Customer",17,"Business travel","Business",1797,5,0,5,1,1,5,1,1,5,2,4,4,5,1,0,0
"661","satisfied","Loyal Customer",54,"Business travel","Business",1032,3,3,3,3,3,5,4,5,5,5,5,3,5,3,0,0
"662","dissatisfied","Loyal Customer",23,"Business travel","Business",4901,3,2,2,2,3,3,3,3,2,2,4,2,4,3,39,39
"663","dissatisfied","Loyal Customer",63,"Personal Travel","Eco",2357,2,5,2,1,5,2,2,5,3,2,4,4,5,5,0,0
"664","dissatisfied","Loyal Customer",7,"Personal Travel","Eco",2623,3,5,4,1,4,4,4,4,1,5,4,4,4,4,135,114
"665","satisfied","Loyal Customer",45,"Business travel","Eco Plus",271,5,4,4,4,3,4,3,5,5,5,5,2,5,4,0,27
"666","dissatisfied","disloyal Customer",22,"Business travel","Eco",1681,2,1,2,4,2,2,2,2,1,4,4,1,4,2,4,8
"667","satisfied","Loyal Customer",37,"Personal Travel","Eco",2256,3,3,3,3,2,4,4,3,3,3,3,5,3,3,0,0
"668","dissatisfied","Loyal Customer",29,"Business travel","Eco",2265,3,3,2,3,3,3,3,3,2,5,4,3,4,3,12,1
"669","dissatisfied","Loyal Customer",53,"Personal Travel","Eco",1331,4,3,4,3,3,4,3,3,3,3,2,4,1,3,0,7
"670","satisfied","Loyal Customer",36,"Business travel","Business",224,3,3,3,3,2,2,2,4,4,4,4,1,4,5,0,0
"671","satisfied","Loyal Customer",40,"Business travel","Business",1946,2,2,5,2,5,4,5,5,5,5,4,3,5,3,0,0
"672","dissatisfied","Loyal Customer",35,"Business travel","Business",3224,2,2,2,2,5,3,4,2,2,2,2,2,2,2,26,26
"673","satisfied","Loyal Customer",41,"Business travel","Business",1994,2,2,2,2,2,5,4,2,2,3,2,5,2,4,0,0
"674","dissatisfied","Loyal Customer",11,"Personal Travel","Eco",1493,2,4,2,4,5,2,5,5,4,1,4,1,3,5,0,0
"675","satisfied","Loyal Customer",41,"Business travel","Business",2569,0,5,0,1,1,2,1,5,5,3,3,4,5,4,0,0
"676","dissatisfied","disloyal Customer",20,"Business travel","Eco",1614,1,4,1,4,3,1,3,3,2,1,4,2,4,3,9,0
"677","satisfied","Loyal Customer",68,"Personal Travel","Eco",1142,1,1,1,1,3,5,5,4,4,4,4,5,4,5,37,29
"678","dissatisfied","Loyal Customer",21,"Personal Travel","Eco",2147,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0
"679","satisfied","Loyal Customer",43,"Business travel","Business",612,4,4,4,4,4,5,4,2,2,2,2,5,2,5,1,0
"680","dissatisfied","Loyal Customer",24,"Personal Travel","Eco",1567,3,5,3,2,4,3,4,4,4,4,5,4,5,4,6,0
"681","dissatisfied","disloyal Customer",40,"Business travel","Business",1812,4,4,4,4,2,4,2,2,3,5,4,2,3,2,6,0
"682","satisfied","Loyal Customer",53,"Business travel","Business",2856,2,2,2,2,2,5,4,4,4,4,4,3,4,5,0,0
"683","satisfied","Loyal Customer",46,"Business travel","Eco Plus",2086,4,4,2,4,3,4,3,3,2,4,3,2,5,3,117,125
"684","satisfied","Loyal Customer",26,"Business travel","Business",2580,2,2,2,2,4,4,4,4,4,4,5,4,5,4,0,0
"685","satisfied","Loyal Customer",57,"Business travel","Business",2897,2,2,2,2,5,5,5,5,5,5,5,4,5,5,15,23
"686","satisfied","Loyal Customer",56,"Business travel","Business",3218,5,5,5,5,4,4,4,4,4,4,4,3,4,4,0,0
"687","dissatisfied","Loyal Customer",52,"Personal Travel","Eco",1717,2,4,2,3,1,2,1,1,3,4,4,4,5,1,0,0
"688","dissatisfied","Loyal Customer",67,"Personal Travel","Eco Plus",1413,4,4,4,1,2,3,4,1,1,4,1,3,1,3,0,3
"689","satisfied","Loyal Customer",40,"Business travel","Business",2298,5,5,5,5,2,5,4,3,3,3,3,5,3,5,0,5
"690","satisfied","Loyal Customer",59,"Business travel","Eco",2034,5,4,4,4,5,5,5,5,1,3,2,5,5,5,137,134
"691","dissatisfied","Loyal Customer",44,"Business travel","Business",2728,3,5,5,5,5,4,3,3,3,3,3,3,3,4,3,7
"692","satisfied","Loyal Customer",67,"Personal Travel","Eco",790,4,5,4,3,5,5,4,1,1,4,1,3,1,4,15,3
"693","dissatisfied","disloyal Customer",22,"Business travel","Eco",2850,1,1,1,3,3,1,3,3,4,2,4,4,4,3,0,8
"694","satisfied","Loyal Customer",33,"Business travel","Eco",1443,5,2,2,2,5,5,5,5,4,3,3,3,1,5,0,10
"695","satisfied","Loyal Customer",13,"Personal Travel","Eco",1400,3,3,3,3,3,5,5,4,4,5,4,3,4,5,0,8
"696","satisfied","Loyal Customer",61,"Personal Travel","Eco",808,4,1,1,1,3,2,4,4,4,4,4,4,4,2,30,11
"697","satisfied","Loyal Customer",41,"Business travel","Eco Plus",2328,5,3,4,3,5,5,5,5,3,1,1,5,4,5,0,NA
"698","satisfied","disloyal Customer",23,"Business travel","Eco",1237,0,3,0,4,4,0,4,4,3,2,3,1,4,4,0,0
"699","satisfied","Loyal Customer",39,"Business travel","Business",1060,4,4,4,4,2,5,5,5,5,5,5,3,5,5,7,6
"700","satisfied","Loyal Customer",36,"Business travel","Business",3873,4,4,4,4,5,4,5,4,4,4,4,3,4,5,37,34
"701","satisfied","Loyal Customer",46,"Business travel","Business",733,1,1,1,1,3,4,5,1,1,2,1,4,1,4,0,0
"702","satisfied","Loyal Customer",60,"Business travel","Business",401,2,2,2,2,5,5,5,4,4,5,4,3,4,5,12,5
"703","satisfied","Loyal Customer",29,"Personal Travel","Eco",1928,2,2,2,2,2,4,4,4,4,4,4,4,4,4,0,0
"704","dissatisfied","Loyal Customer",54,"Business travel","Eco",2150,2,2,2,2,2,2,2,2,2,2,2,2,3,2,13,9
"705","satisfied","Loyal Customer",15,"Personal Travel","Eco",1969,4,3,3,3,1,3,3,4,4,4,4,5,4,3,1,0
"706","satisfied","Loyal Customer",57,"Personal Travel","Eco",1099,2,2,5,2,4,5,4,4,4,5,4,4,4,4,0,0
"707","satisfied","Loyal Customer",45,"Business travel","Business",2023,2,2,2,2,5,5,5,4,4,4,4,5,4,4,0,0
"708","satisfied","Loyal Customer",39,"Business travel","Business",133,4,4,4,4,5,3,2,5,5,5,3,3,5,2,0,0
"709","satisfied","disloyal Customer",26,"Business travel","Business",1585,4,4,4,3,1,4,1,1,3,5,4,5,5,1,0,0
"710","dissatisfied","Loyal Customer",55,"Business travel","Eco Plus",409,2,2,2,2,1,4,4,2,2,2,2,1,2,4,17,17
"711","dissatisfied","Loyal Customer",54,"Personal Travel","Eco Plus",1612,4,5,5,3,3,3,5,3,3,5,3,5,3,3,0,0
"712","satisfied","Loyal Customer",53,"Business travel","Business",1940,3,3,3,3,3,4,4,4,4,4,4,4,4,5,41,34
"713","dissatisfied","Loyal Customer",30,"Business travel","Business",4008,4,2,2,2,4,3,4,4,4,4,2,2,4,4,0,0
"714","dissatisfied","Loyal Customer",66,"Personal Travel","Eco",1628,3,4,0,2,2,0,2,2,3,4,4,3,5,2,0,0
"715","dissatisfied","Loyal Customer",23,"Personal Travel","Eco",1960,3,2,3,2,4,3,4,4,1,1,2,3,2,4,0,0
"716","dissatisfied","Loyal Customer",52,"Business travel","Eco",3708,3,1,2,2,3,3,3,1,4,3,4,3,3,3,0,20
"717","dissatisfied","disloyal Customer",24,"Business travel","Eco",1743,3,0,3,2,4,3,4,4,3,2,4,4,5,4,0,15
"718","satisfied","Loyal Customer",59,"Business travel","Business",1897,5,5,5,5,3,5,4,5,5,5,5,3,5,3,0,1
"719","satisfied","Loyal Customer",56,"Business travel","Business",2182,5,4,5,5,5,4,5,5,5,5,5,4,5,4,47,40
"720","dissatisfied","Loyal Customer",17,"Business travel","Business",4142,2,2,2,2,2,3,2,2,1,2,3,4,4,2,0,0
"721","satisfied","Loyal Customer",35,"Business travel","Business",2506,4,4,5,4,4,2,1,4,4,4,4,3,4,4,0,0
"722","satisfied","Loyal Customer",42,"Personal Travel","Eco",1566,4,5,4,3,4,5,5,1,1,4,1,3,1,3,0,0
"723","satisfied","Loyal Customer",52,"Business travel","Eco",653,4,1,1,1,5,4,4,4,4,4,4,5,4,5,21,16
"724","satisfied","Loyal Customer",57,"Business travel","Business",1450,2,2,2,2,2,5,5,4,4,4,4,3,4,4,0,0
"725","satisfied","Loyal Customer",55,"Business travel","Business",1795,4,4,4,4,2,4,4,4,4,4,4,3,4,3,0,0
"726","dissatisfied","Loyal Customer",37,"Business travel","Eco Plus",1492,2,1,1,1,2,3,2,2,1,3,2,2,3,2,0,0
"727","satisfied","Loyal Customer",30,"Business travel","Business",2653,1,1,1,1,5,5,5,5,5,4,5,5,5,5,0,0
"728","satisfied","disloyal Customer",24,"Business travel","Business",1235,4,3,4,2,2,4,2,2,5,5,4,5,5,2,0,0
"729","dissatisfied","disloyal Customer",64,"Business travel","Eco",1801,3,3,3,3,2,3,2,2,3,3,3,4,3,2,1,0
"730","satisfied","Loyal Customer",35,"Business travel","Business",3273,4,4,4,4,3,4,4,4,4,4,4,4,4,3,0,0
"731","satisfied","Loyal Customer",55,"Business travel","Eco",1781,4,1,1,1,4,4,4,4,4,3,5,3,4,4,3,10
"732","satisfied","Loyal Customer",40,"Business travel","Business",2636,3,3,3,3,5,5,4,4,4,4,4,3,4,5,25,23
"733","dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1566,3,4,0,4,1,0,1,1,4,5,4,5,5,1,0,0
"734","dissatisfied","Loyal Customer",38,"Business travel","Business",1601,3,2,2,2,3,2,1,3,3,3,3,4,3,2,28,19
"735","satisfied","Loyal Customer",46,"Business travel","Eco",305,2,2,2,2,3,2,3,2,2,2,2,2,2,4,0,6
"736","satisfied","Loyal Customer",45,"Business travel","Business",4863,4,4,3,4,5,5,5,3,3,2,3,5,3,5,264,272
"737","satisfied","Loyal Customer",44,"Business travel","Eco",299,5,5,4,5,2,4,1,4,4,5,4,1,4,4,0,0
"738","dissatisfied","disloyal Customer",25,"Business travel","Business",2166,3,4,3,3,4,3,4,4,5,5,4,4,5,4,46,34
"739","satisfied","Loyal Customer",41,"Business travel","Business",1461,4,4,4,4,3,4,5,4,4,4,4,5,4,5,0,12
"740","satisfied","Loyal Customer",70,"Personal Travel","Eco Plus",1496,4,4,4,3,3,4,4,5,5,4,5,5,5,3,0,6
"741","satisfied","Loyal Customer",28,"Business travel","Business",3416,5,2,5,5,5,5,5,5,2,3,5,3,3,5,0,0
"742","dissatisfied","disloyal Customer",21,"Business travel","Eco",1473,2,1,2,4,1,2,1,1,2,3,3,4,3,1,13,10
"743","satisfied","disloyal Customer",39,"Business travel","Business",2673,4,4,4,2,4,4,4,4,3,2,4,4,4,4,2,0
"744","satisfied","Loyal Customer",46,"Personal Travel","Eco",541,5,5,5,5,3,4,4,5,5,5,5,4,5,4,0,0
"745","satisfied","Loyal Customer",41,"Business travel","Business",902,2,2,2,2,5,5,4,5,5,5,5,3,5,3,0,0
"746","dissatisfied","disloyal Customer",27,"Business travel","Eco",3315,1,1,1,3,2,1,2,2,4,3,2,4,3,2,0,2
"747","satisfied","Loyal Customer",34,"Business travel","Eco",1626,5,3,3,3,5,5,5,5,1,2,3,5,5,5,0,2
"748","satisfied","Loyal Customer",38,"Business travel","Business",2044,5,5,5,5,4,5,5,5,1,4,5,5,3,5,0,4
"749","dissatisfied","disloyal Customer",24,"Business travel","Eco",1513,3,3,3,3,3,3,3,3,3,3,2,1,2,3,71,65
"750","satisfied","Loyal Customer",48,"Business travel","Business",2792,4,4,4,4,4,4,5,4,4,4,4,5,4,3,0,0
"751","dissatisfied","Loyal Customer",56,"Business travel","Business",2117,1,3,3,3,2,4,4,3,3,3,1,3,3,3,0,0
"752","satisfied","Loyal Customer",67,"Business travel","Business",233,4,4,4,4,2,4,1,4,4,4,5,5,4,4,85,101
"753","dissatisfied","disloyal Customer",25,"Business travel","Eco",1960,2,2,2,1,2,2,2,2,3,5,1,2,2,2,7,18
"754","satisfied","Loyal Customer",53,"Business travel","Business",3401,3,3,3,3,5,5,5,2,2,2,2,3,2,4,0,0
"755","satisfied","Loyal Customer",52,"Business travel","Business",1004,3,3,3,3,5,4,2,4,4,4,4,5,4,3,9,13
"756","dissatisfied","disloyal Customer",44,"Business travel","Eco Plus",1380,2,2,2,4,5,2,1,5,2,4,3,1,3,5,0,0
"757","satisfied","Loyal Customer",67,"Business travel","Eco",486,4,1,5,5,1,5,3,4,4,4,4,4,4,1,0,0
"758","dissatisfied","Loyal Customer",16,"Personal Travel","Eco Plus",1201,3,5,0,3,5,0,5,5,5,3,5,3,5,5,4,NA
"759","satisfied","Loyal Customer",41,"Business travel","Business",3160,2,2,4,2,5,5,4,5,5,5,5,5,5,3,5,7
"760","satisfied","Loyal Customer",57,"Business travel","Business",3801,4,4,4,4,2,5,4,2,2,2,2,5,2,3,0,21
"761","dissatisfied","Loyal Customer",25,"Personal Travel","Eco",2039,4,5,4,5,1,4,1,1,3,5,4,5,5,1,0,0
"762","dissatisfied","Loyal Customer",23,"Personal Travel","Eco",1813,3,5,3,4,4,3,4,4,3,1,2,1,2,4,0,0
"763","dissatisfied","Loyal Customer",22,"Personal Travel","Eco",1625,3,5,3,4,3,3,3,3,5,4,5,5,4,3,0,0
"764","satisfied","disloyal Customer",41,"Business travel","Business",1209,2,3,3,1,5,2,5,5,5,2,4,4,4,5,0,4
"765","dissatisfied","disloyal Customer",56,"Business travel","Eco",1510,1,2,1,2,1,1,1,1,1,2,3,2,2,1,0,0
"766","dissatisfied","Loyal Customer",13,"Personal Travel","Eco Plus",1178,2,4,2,2,5,2,5,5,4,4,3,5,4,5,13,5
"767","satisfied","Loyal Customer",8,"Personal Travel","Eco",1664,4,4,4,4,4,3,5,5,5,4,5,3,5,3,1,7
"768","satisfied","Loyal Customer",20,"Personal Travel","Eco",1632,5,5,5,5,3,5,2,3,5,2,4,3,4,3,0,0
"769","dissatisfied","Loyal Customer",36,"Business travel","Business",3678,3,5,5,5,4,3,3,3,3,3,3,3,3,1,3,0
"770","dissatisfied","Loyal Customer",42,"Personal Travel","Eco",2028,3,5,3,3,3,3,3,3,5,3,5,4,5,3,3,0
"771","satisfied","Loyal Customer",30,"Business travel","Business",3215,2,2,2,2,4,4,4,4,4,3,4,4,5,4,0,0
"772","satisfied","Loyal Customer",58,"Business travel","Business",3351,3,3,5,3,5,5,5,5,5,4,5,3,5,5,0,4
"773","satisfied","disloyal Customer",25,"Business travel","Business",1634,5,5,5,2,4,5,3,4,4,3,4,5,5,4,0,0
"774","satisfied","Loyal Customer",50,"Business travel","Business",59,1,1,1,1,4,4,4,5,5,5,4,3,5,3,0,0
"775","satisfied","disloyal Customer",27,"Business travel","Business",1930,4,4,4,3,3,4,3,3,5,5,4,3,5,3,42,48
"776","dissatisfied","Loyal Customer",34,"Business travel","Business",2422,4,5,5,5,4,4,4,2,4,4,4,4,2,4,0,36
"777","dissatisfied","Loyal Customer",51,"Personal Travel","Eco",2403,2,4,2,4,4,2,1,4,4,4,2,4,3,4,0,0
"778","satisfied","disloyal Customer",17,"Business travel","Eco",1687,4,0,4,4,5,4,5,5,4,5,5,3,4,5,0,3
"779","satisfied","Loyal Customer",33,"Personal Travel","Eco",1562,1,1,1,1,5,5,5,5,5,4,5,3,5,5,3,0
"780","satisfied","Loyal Customer",44,"Business travel","Business",85,0,3,0,2,4,1,3,4,4,4,4,5,4,3,0,0
"781","satisfied","Loyal Customer",39,"Business travel","Business",376,2,2,2,2,3,1,2,2,2,2,2,2,2,3,0,0
"782","satisfied","Loyal Customer",21,"Personal Travel","Eco",1900,0,2,0,3,5,2,3,1,1,0,1,4,1,4,0,0
"783","satisfied","Loyal Customer",43,"Business travel","Business",288,3,3,3,3,2,2,2,5,5,5,5,1,5,3,0,19
"784","satisfied","Loyal Customer",45,"Business travel","Eco",3377,2,5,4,4,1,2,1,1,4,4,5,3,5,1,0,0
"785","satisfied","Loyal Customer",57,"Business travel","Business",953,1,1,1,1,3,4,4,5,5,4,5,4,5,5,0,2
"786","satisfied","Loyal Customer",64,"Personal Travel","Eco",1839,2,2,2,2,2,4,5,5,5,5,5,5,5,3,30,10
"787","satisfied","Loyal Customer",25,"Business travel","Business",2215,1,1,1,1,4,4,4,4,5,3,5,3,4,4,9,0
"788","dissatisfied","disloyal Customer",37,"Business travel","Business",1963,2,2,2,2,1,2,1,1,3,5,5,5,5,1,3,0
"789","dissatisfied","Loyal Customer",31,"Business travel","Business",3383,1,2,2,2,1,1,1,1,4,3,3,3,3,1,61,88
"790","dissatisfied","Loyal Customer",35,"Business travel","Eco Plus",1592,4,3,5,3,4,4,4,4,4,5,4,2,4,4,47,50
"791","satisfied","Loyal Customer",24,"Personal Travel","Eco",1730,4,2,4,4,5,4,5,5,4,3,3,1,4,5,0,0
"792","dissatisfied","Loyal Customer",29,"Business travel","Business",5139,1,2,2,2,1,1,1,1,2,1,3,2,4,1,3,0
"793","dissatisfied","Loyal Customer",45,"Business travel","Business",508,3,5,5,5,3,3,2,3,3,3,3,1,3,3,0,44
"794","dissatisfied","Loyal Customer",11,"Personal Travel","Eco",2818,3,2,3,2,1,3,1,1,2,2,1,4,2,1,100,92
"795","dissatisfied","Loyal Customer",57,"Personal Travel","Eco Plus",2351,1,5,1,2,1,5,5,3,4,5,4,5,3,5,199,192
"796","dissatisfied","Loyal Customer",14,"Personal Travel","Eco",2383,3,5,3,4,3,3,2,3,3,4,4,5,4,3,1,13
"797","dissatisfied","Loyal Customer",32,"Business travel","Business",3580,1,3,3,3,1,1,1,1,3,5,3,2,3,1,0,0
"798","satisfied","Loyal Customer",60,"Business travel","Business",1925,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0
"799","dissatisfied","disloyal Customer",42,"Business travel","Business",1485,2,2,2,3,4,2,4,4,4,5,4,5,4,4,3,32
"800","dissatisfied","Loyal Customer",53,"Business travel","Business",2386,2,5,5,5,4,2,2,2,2,2,2,1,2,1,0,0
"801","dissatisfied","Loyal Customer",58,"Personal Travel","Eco Plus",2888,3,2,3,4,1,3,1,1,3,3,3,4,3,1,0,0
"802","satisfied","Loyal Customer",59,"Personal Travel","Eco",955,2,2,2,2,1,4,5,5,5,5,5,4,5,2,0,5
"803","satisfied","Loyal Customer",23,"Business travel","Business",3108,1,1,1,1,5,5,5,3,2,3,3,5,4,5,167,174
"804","dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1059,4,4,4,3,5,4,5,5,3,5,4,5,5,5,2,0
"805","satisfied","Loyal Customer",58,"Business travel","Business",3750,0,4,0,2,3,5,5,5,5,5,5,5,5,4,0,0
"806","dissatisfied","Loyal Customer",45,"Personal Travel","Eco",1906,3,1,3,2,2,3,4,2,4,3,2,3,1,2,14,11
"807","dissatisfied","Loyal Customer",43,"Business travel","Eco Plus",2194,2,2,2,2,2,2,2,3,1,4,4,2,4,2,187,185
"808","dissatisfied","Loyal Customer",28,"Personal Travel","Eco",2457,4,5,4,3,2,4,2,2,3,4,3,3,2,2,0,12
"809","satisfied","Loyal Customer",35,"Business travel","Eco",1508,4,5,5,5,4,3,4,4,2,2,2,1,2,4,0,19
"810","dissatisfied","Loyal Customer",49,"Business travel","Business",1521,1,3,3,3,4,3,3,1,1,1,1,2,1,1,0,0
"811","dissatisfied","disloyal Customer",25,"Business travel","Eco",2274,2,2,2,2,3,2,3,3,3,1,2,1,2,3,63,68
"812","dissatisfied","Loyal Customer",64,"Business travel","Business",3902,2,5,5,5,5,2,2,2,2,2,2,2,2,1,34,4
"813","satisfied","Loyal Customer",8,"Personal Travel","Eco",2229,5,5,5,5,2,3,5,4,4,4,4,3,4,4,22,20
"814","satisfied","Loyal Customer",23,"Business travel","Business",4848,3,3,2,3,5,5,5,5,4,4,5,5,4,5,0,0
"815","dissatisfied","Loyal Customer",64,"Personal Travel","Eco",1583,3,0,3,3,1,3,1,1,5,2,4,3,5,1,4,0
"816","dissatisfied","disloyal Customer",32,"Business travel","Business",1727,1,1,1,3,5,1,5,5,2,3,4,3,3,5,0,0
"817","satisfied","Loyal Customer",35,"Business travel","Business",402,1,1,1,1,2,3,3,5,5,5,5,4,5,5,3,0
"818","satisfied","Loyal Customer",30,"Personal Travel","Eco",1526,4,4,4,3,5,4,5,5,4,5,4,4,5,5,47,42
"819","satisfied","Loyal Customer",26,"Personal Travel","Eco",2193,4,1,0,4,2,0,2,2,1,5,4,4,4,2,0,0
"820","satisfied","Loyal Customer",68,"Personal Travel","Eco Plus",2098,0,0,0,1,5,5,5,5,1,2,3,4,5,5,5,0
"821","satisfied","Loyal Customer",44,"Personal Travel","Eco",375,2,2,2,2,4,4,4,4,4,4,4,4,4,5,8,1
"822","dissatisfied","disloyal Customer",27,"Business travel","Eco",2570,2,2,2,3,4,2,2,4,3,2,3,4,3,4,0,0
"823","satisfied","Loyal Customer",53,"Business travel","Business",1522,1,1,1,1,3,5,4,4,4,4,4,5,4,5,0,0
"824","dissatisfied","Loyal Customer",17,"Business travel","Eco",1455,1,4,4,4,1,1,1,1,2,1,2,2,3,1,14,41
"825","satisfied","Loyal Customer",54,"Business travel","Business",3409,5,5,5,5,5,5,5,4,4,5,4,5,4,5,0,0
"826","dissatisfied","Loyal Customer",59,"Business travel","Eco",931,4,2,2,2,2,3,4,5,5,4,5,4,5,4,0,0
"827","satisfied","disloyal Customer",23,"Business travel","Business",1450,4,0,5,4,4,5,4,4,5,4,5,4,5,4,54,51
"828","satisfied","Loyal Customer",36,"Business travel","Business",3218,5,5,5,5,5,5,5,4,4,4,4,5,4,3,32,20
"829","satisfied","Loyal Customer",36,"Business travel","Business",2465,3,3,3,3,3,5,4,4,4,4,4,4,4,5,2,22
"830","satisfied","Loyal Customer",51,"Business travel","Business",3679,4,4,4,4,3,1,2,5,5,5,5,2,5,1,0,10
"831","satisfied","Loyal Customer",38,"Business travel","Eco",1344,4,1,1,1,4,4,4,4,2,2,4,1,3,4,10,0
"832","satisfied","Loyal Customer",35,"Business travel","Business",2377,0,5,1,4,4,1,5,4,4,4,4,2,4,2,4,0
"833","satisfied","Loyal Customer",58,"Business travel","Business",678,3,3,3,3,2,4,5,4,4,4,4,3,4,4,77,57
"834","satisfied","Loyal Customer",24,"Business travel","Business",2888,3,3,3,3,4,4,4,4,3,2,4,1,3,4,0,0
"835","satisfied","Loyal Customer",49,"Business travel","Business",3857,2,2,2,2,4,5,4,4,4,4,4,3,4,4,0,0
"836","satisfied","Loyal Customer",60,"Business travel","Business",3878,5,5,1,5,5,4,4,4,4,4,4,3,4,4,0,0
"837","satisfied","Loyal Customer",66,"Personal Travel","Eco",357,4,4,4,4,2,4,4,4,4,4,4,5,4,4,76,72
"838","satisfied","Loyal Customer",46,"Personal Travel","Eco",411,5,1,3,1,4,3,4,5,5,5,5,3,5,5,0,0
"839","satisfied","Loyal Customer",40,"Business travel","Business",1088,2,2,2,2,4,4,4,4,4,4,4,4,4,4,56,58
"840","satisfied","Loyal Customer",27,"Personal Travel","Eco",1658,2,2,2,2,3,4,4,2,2,2,2,3,2,3,0,0
"841","dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1323,1,4,1,1,4,1,1,4,4,3,4,3,5,4,0,0
"842","satisfied","Loyal Customer",32,"Business travel","Eco",2836,4,1,1,1,4,5,4,4,1,1,4,4,2,4,30,32
"843","satisfied","Loyal Customer",36,"Business travel","Business",2625,4,4,4,4,2,4,4,5,5,5,5,4,5,3,0,11
"844","dissatisfied","Loyal Customer",49,"Business travel","Eco",2642,2,3,3,3,2,2,2,2,4,3,3,2,4,2,33,25
"845","dissatisfied","disloyal Customer",33,"Business travel","Business",2134,3,3,3,3,1,3,1,1,5,4,5,5,5,1,73,60
"846","satisfied","Loyal Customer",35,"Personal Travel","Eco",2459,4,5,4,2,3,4,3,3,3,2,4,5,5,3,0,0
"847","satisfied","Loyal Customer",52,"Business travel","Business",2896,3,3,3,3,3,5,4,5,5,5,5,3,5,4,28,50
"848","satisfied","Loyal Customer",53,"Business travel","Business",1777,2,1,2,2,2,4,5,5,5,5,5,4,5,4,0,0
"849","dissatisfied","Loyal Customer",38,"Business travel","Business",3348,2,3,3,3,4,4,3,1,1,1,2,1,1,1,0,0
"850","satisfied","Loyal Customer",56,"Business travel","Business",3500,5,5,5,5,1,1,3,5,5,5,5,4,5,5,0,0
"851","satisfied","disloyal Customer",39,"Business travel","Business",1178,5,5,5,3,5,5,5,5,4,2,5,4,5,5,0,0
"852","satisfied","disloyal Customer",42,"Business travel","Business",1737,3,3,3,1,5,3,5,5,3,3,5,3,4,5,47,52
"853","satisfied","Loyal Customer",43,"Business travel","Business",917,2,2,2,2,4,4,5,5,5,5,5,4,5,4,0,4
"854","dissatisfied","Loyal Customer",10,"Personal Travel","Eco",2174,4,5,4,3,4,4,4,4,4,4,5,3,5,4,0,0
"855","dissatisfied","Loyal Customer",42,"Business travel","Eco",1607,2,3,3,3,2,2,2,2,1,4,3,1,3,2,0,12
"856","dissatisfied","Loyal Customer",9,"Business travel","Business",5604,2,3,4,3,2,2,2,2,3,1,4,1,3,2,83,83
